word,freq_int
stay,9
steady,2
steak,1
steal,3
steam,2
steel,3
steep,1
step,8
stick,5
stiff,1
still,9
stir,3
stock,6
stomach,3
stone,8
stop,9
storage,2
store,9
storm,2
story,9
straight,7
straightforward,1
strain,2
strange,6
stranger,6
strategic,2
strategy,4
straw,1
strawberry,1
stream,2
street,9
strength,6
strengthen,2
stress,3
stretch,3
strict,1
strike,5
string,5
strip,2
stroke,1
strong,9
strongly,1
structure,5
struggle,3
student,9
studio,5
study,6
stuff,5
stupid,5
style,8
subject,8
submit,3
subsequent,4
subsequently,2
substance,2
substantial,5
succeed,5
success,9
successful,8
successfully,2
such,0
predeterminer,9
suck,1
sudden,4
suddenly,9
suffer,9
sufficient,6
sugar,4
suggest,9
suggestion,7
suit,4
suitable,5
sum,6
summer,9
sun,8
super,2
supermarket,1
supper,1
supply,6
support,9
supporter,5
suppose,9
sure,9
surely,7
surface,7
surgery,6
surprise,5
surprised,6
surprising,3
surprisingly,2
surround,4
survey,6
survival,2
survive,6
suspect,4
suspicion,2
suspicious,1
sustain,2
swap,1
swear,2
sweep,2
sweet,4
swim,1
swimming,2
swing,2
switch,4
symbol,2
sympathy,2
system,9
table,9
tablet,1
tackle,3
tail,4
take,9
tale,2
talent,2
talk,9
tall,6
tank,6
tap,1
tape,3
target,6
task,8
taste,6
tax,9
taxi,1
tea,7
teach,7
teacher,9
teaching,6
team,9
tear,4
technical,6
technique,7
technology,8
telephone,7
television,9
tell,9
telly,2
temperature,6
temporary,3
tend,9
tendency,3
tennis,3
tension,4
tent,1
term,9
terrible,5
terribly,2
territory,4
terror,2
terrorist,2
test,9
text,8
than,9
thank,7
thanks,3
that,9
the,9
theatre,6
their,9
theirs,1
them,9
theme,6
themselves,9
then,9
theoretical,2
theory,8
there,9
therefore,9
they,9
thick,6
thin,6
thing,9
think,9
this,9
though,9
thought,9
threat,5
threaten,5
three,3
throat,3
through,9
throughout,8
throw,9
thus,6
ticket,7
tidy,1
tie,4
tight,4
tile,1
till,3
time,9
tin,2
tiny,6
tip,4
tired,7
title,7
to,9
toast,1
today,9
toe,1
together,9
toilet,2
tomato,2
tomorrow,7
ton,1
tone,5
tongue,3
tonight,7
too,9
tool,6
tooth,6
top,9
topic,5
total,9
totally,7
touch,6
tough,6
tour,5
tourist,2
towards,9
towel,1
tower,3
town,9
toy,1
track,6
trade,7
tradition,6
traditional,7
traffic,7
trailer,1
train,7
trainer,1
training,8
transaction,3
transfer,5
transform,2
transition,2
translate,1
transport,6
transportation,2
trash,1
travel,6
tray,1
treat,8
treatment,8
treaty,4
tree,9
tremendous,2
trend,5
trial,5
trick,1
tricky,1
trip,6
troop,4
trouble,7
trousers,2
truck,4
true,9
truly,2
trust,7
truth,7
try,9
tube,3
tune,1
tunnel,2
turn,9
tv,6
twice,6
twist,1
type,9
typical,6
tyre,1
tire,1
ugly,1
ultimate,2
ultimately,2
unable,4
unbelievable,1
uncle,4
under,9
underneath,2
understand,9
understanding,2
undertake,2
unemployed,4
unemployment,6
unfair,1
unfortunate,1
unfortunately,5
unhappy,1
uniform,1
union,9
unique,5
unit,6
united,4
unity,2
universal,2
universe,2
university,8
unknown,4
unless,9
unlike,2
unlikely,5
until,9
unusual,4
up,9
upon,8
upper,4
upset,2
upstairs,2
urban,4
urge,2
urgent,1
us,9
use,9
used,7
useful,9
user,7
usual,6
usually,9
vacation,4
vague,1
valley,3
valuable,2
value,8
van,4
variation,4
variety,8
various,9
vary,5
vast,5
vegetable,3
vehicle,6
version,6
very,9
vet,1
via,4
victim,5
victory,4
video,7
view,9
village,9
violence,6
violent,3
virtually,6
virtue,2
virus,2
visible,2
vision,5
visit,8
visitor,5
visual,2
vital,4
voice,8
volume,5
voluntary,2
vote,6
vulnerable,2
wage,6
wait,9
wake,4
walk,9
wall,9
wander,1
want,9
war,8
ward,2
wardrobe,1
warm,6
warn,5
warning,5
wash,5
washing,2
waste,4
watch,9
water,9
wave,5
way,9
we,9
weak,5
weakness,2
wealth,2
weapon,5
wear,9
weather,7
web,6
website,6
wedding,4
week,9
weekend,7
weekly,2
weigh,3
weight,7
weird,2
welcome,6
welfare,5
well,9
west,7
western,6
wet,4
what,9
whatever,9
whatsoever,2
wheel,4
when,9
whenever,4
where,9
whereas,6
wherever,2
whether,9
which,9
while,9
whisky,1
whisper,2
white,9
who,9
whoever,2
whole,9
whom,7
whose,8
why,9
wicked,1
wide,9
widely,4
widespread,2
wife,9
wild,6
will,9
willing,4
win,9
wind,6
window,9
windy,1
wine,6
wing,6
winner,5
winter,6
wipe,1
wire,4
wise,1
wish,9
with,9
withdraw,5
within,9
without,9
witness,4
woman,9
wonder,7
wonderful,7
wood,6
wooden,3
wool,1
word,9
work,9
worker,8
working,6
workshop,3
world,9
worried,4
worry,7
worrying,1
worse,6
worth,7
would,9
wound,2
wrap,1
write,9
writer,5
writing,4
wrong,9
yard,6
yeah,3
year,9
yellow,4
yep,3
yes,9
yesterday,9
yet,9
you,9
young,9
youngster,1
your,9
yours,5
yourself,7
youth,6
zone,2
